epoch,epoch_time_sec,train_loss,val_old_macro_f1,val_new_macro_f1,val_joint_macro_f1,lr
1,32.3983,0.37715508111498575,0.61277261272204,0.31604422359957624,0.46440841816080813,0.0005
2,31.7002,0.37385861457071523,0.6118299565533416,0.3144721496375688,0.46315105309545523,0.0005
3,30.166,0.3650626184588129,0.6312637917034094,0.31904662163341535,0.4751552066684124,0.0005
4,31.1963,0.34643365078690375,0.6232508794697138,0.3169198610375081,0.47008537025361097,0.0005
5,32.4496,0.3510775442489169,0.6286677554998871,0.3688179461838253,0.4987428508418562,0.0005
6,31.3511,0.3232703735543923,0.6208119429455093,0.38042748630983925,0.5006197146276743,0.0005
7,31.1355,0.3244674850932576,0.6262726412348973,0.37606116717314453,0.501166904204021,0.0005
8,32.7931,0.3284917389973998,0.6178259257201092,0.3771944922547332,0.4975102089874212,0.0005
9,32.3878,0.34733424318785017,0.6326603933391678,0.3828381795195955,0.5077492864293817,0.0005
10,31.7748,0.3347193877297369,0.6155803066699331,0.31431431431431434,0.46494731049212373,0.0005
11,31.7384,0.3194979260760275,0.6298519028953262,0.3153679807989354,0.4726099418471308,0.0005
12,31.8168,0.32563876098191197,0.6298296938735923,0.3153840407571751,0.4726068673153837,0.0005
